PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067529	1473278229433	1473278229760	SHIFT	16
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067531	1473278229687	1473278229815	T	84
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067535	1473278229791	1473278229895	h	72
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067540	1473278229871	1473278229967	e	69
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067545	1473278230079	1473278230200	n	78
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067550	1473278230248	1473278230360	 	32
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067581	1473278230544	1473278230640	t	84
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067587	1473278230664	1473278230760	h	72
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067591	1473278230776	1473278230920	e	69
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067595	1473278231216	1473278231376	r	82
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067652	1473278231360	1473278231480	e	69
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067660	1473278231808	1473278231928	'	222
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067667	1473278231976	1473278232104	s	83
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067670	1473278232112	1473278232224	 	32
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067677	1473278232256	1473278232352	t	84
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067705	1473278232328	1473278232464	h	72
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067709	1473278232448	1473278232544	e	69
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067712	1473278232488	1473278232624	 	32
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067715	1473278232624	1473278232760	SHIFT	16
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067720	1473278232688	1473278232800	P	80
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067728	1473278232864	1473278232976	a	65
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067737	1473278232984	1473278233080	;	76
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067888	1473278233152	1473278233200	m	77
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067889	1473278233424	1473278233528	BKSP	8
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067891	1473278233600	1473278233736	BKSP	8
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067893	1473278233864	1473278233952	,	77
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067897	1473278234368	1473278234488	BKSP	8
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067900	1473278234668	1473278234848	SHIFT	16
100341	1094698	Then there's the Palm?	Then there's the Palm?	52067903	1473278234776	1473278234888	?	191
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068059	1473278237744	1473278237944	SHIFT	16
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068064	1473278237896	1473278238015	T	84
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068068	1473278238032	1473278238128	h	72
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068074	1473278238176	1473278238296	a	65
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068079	1473278238288	1473278238416	n	78
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068134	1473278238360	1473278238472	k	75
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068138	1473278238456	1473278238584	s	83
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068148	1473278238544	1473278238696	 	32
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068152	1473278238720	1473278238832	f	70
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068160	1473278238808	1473278238944	o	79
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068168	1473278238959	1473278239112	r	82
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068199	1473278239056	1473278239240	 	32
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068204	1473278239279	1473278239400	k	75
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068208	1473278239384	1473278239471	e	69
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068211	1473278239544	1473278239656	e	69
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068215	1473278239656	1473278239776	p	80
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068219	1473278239851	1473278240048	i	73
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068236	1473278239984	1473278240120	n	78
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068241	1473278240049	1473278240176	g	71
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068246	1473278240120	1473278240248	 	32
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068250	1473278240275	1473278240368	y	89
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068255	1473278240348	1473278240503	o	79
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068354	1473278240395	1473278240516	u	85
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068359	1473278240544	1473278240688	r	82
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068361	1473278240623	1473278240771	 	32
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068365	1473278240843	1473278241023	e	69
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068367	1473278241356	1473278241463	y	89
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068368	1473278241700	1473278241935	e	69
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068420	1473278241840	1473278242015	s	83
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068425	1473278241968	1473278242099	 	32
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068429	1473278242135	1473278242279	o	79
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068433	1473278242343	1473278242435	u	85
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068437	1473278242963	1473278243123	t	84
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068465	1473278243075	1473278243219	 	32
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068467	1473278243252	1473278243387	t	84
100341	1094720	Thanks for keeping your eyes out there on our stuff!	Thanks for keeping your eyes out there on our stuff!	52068471	1473278243331	1473278243459	h	72
